loanword,synonym,loan_language,part_of_speech
Abat-jour,Luuchteschierm,FR,SUBST
abîméieren,beschiedegen,FR,VRB
abordabel,erschwénglech,FR,ADJ
abordéieren,uschneiden,FR,VRB
Absicht,Intentioun,DE,SUBST
Abstentioun,Enthalung,FR,SUBST
accordéieren,bewëllegen,FR,VRB
Account,Benotzerkont,DE,SUBST
Actrice,Schauspillerin,FR,SUBST
ADHS,Opmierksamkeetsdefizit-Hyperaktivitéitsstéierung,DE,SUBST
adipös,fettleibeg,DE,ADJ
Affiliatioun,Memberschaft,FR,SUBST
After,Anus,DE,SUBST
Agrafeuse,Bostitch,FR,SUBST
agreabel,angeneem,FR,ADJ
Airline,Fluchgesellschaft,EN,SUBST
Ajustement,Upassung,FR,SUBST
Akribie,Genauegkeet,DE,SUBST
Alimentatioun,Ernärung,FR,SUBST
Allokatioun,Bäihëllef,FR,SUBST
Allokatioun,Zoulag,FR,SUBST
Alpinistin,Biergsteigerin,DE,SUBST
Ameis,Seejomes,DE,SUBST
Amende,Geldbouss,FR,SUBST
Amende,Geldstrof,FR,SUBST
Anciennetéit,Déngschtalter,FR,SUBST
Anemie,Bluttaarmut,FR,SUBST
Antisemitismus,Juddefeindlechkeet,DE,SUBST
Apnoe,Otemstëllstand,DE,SUBST
approximativ,ongeféier,DE,ADJ
Arrhythmie,Häerzrhythmusstéierung,DE,SUBST
Arroganz,Iwwerhieflechkeet,DE,SUBST
Artistin,Kënschtlerin,DE,SUBST
Asphalt,Makadamm,FR,SUBST
Asylant,Demandeur d'asile,DE,SUBST
Asylantin,Demandeuse d'asile,DE,SUBST
Atomenergie,Atomkraaft,DE,SUBST
Attestatioun,Bescheinegung,FR,SUBST
attestéieren,bescheinegen,FR,VRB
Augmentatioun,Erhéijung,FR,SUBST
Aula,Festsall,DE,SUBST
Ausrüstung,Ekipement,DE,SUBST
Auswanderer,Emigrant,DE,SUBST
Auswanderung,Emigratioun,DE,SUBST
Auswanderungsland,Emigratiounsland,DE,SUBST
Ausweisung,Expulsioun,DE,SUBST
Autocollant,Pechbild,FR,SUBST
Avantage,Virdeel,FR,SUBST
avantagéieren,bevirdeelegen,FR,VRB
Avion,Fliger,FR,SUBST
avortéieren,ofdreiwen,FR,VRB
Avortement,Ofdreiwung,FR,SUBST
Balluchon,Bëndel,FR,SUBST
Bärlauch,Heckeknuewelek,DE,SUBST
beanstanden,bemängelen,DE,VRB
Bedenken,Zweiwel,DE,SUBST
Begrenzung,Limitatioun,DE,SUBST
beklauen,bestielen,DE,VRB
Benefice,Boni,FR,SUBST
benevole,éierenamtlech,FR,ADJ
Besteck,Läffelsgeschier,DE,SUBST
Bettwäsch,Bettgezei,DE,SUBST
Bibliografie,Literaturverzeechnes,DE,SUBST
Bistro,Wiertschaft,FR,SUBST
bizarre,bosseg,FR,ADJ
bizarre,gelungen,FR,ADJ
Blödian,Blani,DE,SUBST
Blödian,Dabo,DE,SUBST
Blödian,Dëlpes,DE,SUBST
Blödian,Dräibiz,DE,SUBST
Blödian,Topert,DE,SUBST
Bonbon,Kamell,FR,SUBST
Bonne,Déngschtmeedchen,FR,SUBST
Bouche-à-bouche,Mond-zu-Mond-Beootmung,FR,SUBST
Bremsbelag,Bremsplackett,DE,SUBST
Bushaltestell,Busarrêt,DE,SUBST
Café,Wiertschaft,FR,SUBST
Camionnette,Liwwerwon,FR,SUBST
Canicule,Hëtztwell,FR,SUBST
Cash,Boergeld,EN,SUBST
Cauchemar,Albdram,FR,SUBST
Cepage,Riefzort,FR,SUBST
certifiéieren,bescheinegen,FR,VRB
Cesarienne,Keeserschnëtt,FR,SUBST
Championnat,Meeschterschaft,FR,SUBST
Chercheur,Fuerscher,FR,SUBST
Chercheuse,Fuerscherin,FR,SUBST
Chignon,Tuppi,FR,SUBST
Chimist,Cheemiker,FR,SUBST
chroméiert,verchroomt,FR,ADJ
Chronometer,Stoppauer,EN,SUBST
Cicatrice,Läinzeechen,FR,SUBST
Clochard,Obdachlosen,FR,SUBST
completéieren,vervollstännegen,FR,VRB
Confederatioun,Daachverband,FR,SUBST
Confidentialitéit,Vertraulechkeet,FR,SUBST
confidentiel,vertraulech,FR,ADJ
confirméieren,bestätegen,FR,VRB
confisquéieren,beschlagnamen,FR,VRB
Conjugaisoun,Konjugatioun,FR,SUBST
consideréieren,berücksichtegen,FR,VRB
Contraire,Géigendeel,FR,SUBST
Coussin,Këssen,FR,SUBST
